01,05,22,24,30,32,11,08
11,19,24,27,36,40,18,02
04,07,16,27,36,38,01,07
01,02,07,13,23,28,10,06
13,14,17,18,20,31,16,01
04,05,14,18,19,21,26,04
01,16,23,25,27,33,03,06
11,13,23,30,34,38,18,04
02,09,12,15,23,25,34,08
11,19,24,27,36,40,18,02
04,07,16,27,36,38,01,07
01,02,07,13,23,28,10,06
13,14,17,18,20,31,16,01
04,05,14,18,19,21,26,04
01,16,23,25,27,33,03,06
11,13,23,30,34,38,18,04
02,09,12,15,23,25,34,08
05,14,15,18,21,27,04,08
07,13,17,19,27,29,04,04
12,24,25,27,36,39,02,07
06,15,19,31,35,40,23,03
17,18,19,20,22,40,13,07
03,05,09,10,15,40,24,02
08,12,21,23,29,35,16,06
13,14,16,19,21,39,24,04
10,14,17,18,37,38,11,02
04,09,20,24,26,37,07,08
14,15,23,24,28,33,03,07
07,12,20,31,34,39,14,05
02,12,13,16,23,31,15,05
01,06,12,24,26,34,33,03
09,15,19,21,26,30,11,05
12,16,23,27,28,30,17,03
03,07,14,23,28,31,18,10
01,17,22,23,26,38,29,08
01,18,22,23,26,34,13,05
01,14,15,27,33,39,25,03
16,17,19,24,34,35,03,01
01,11,19,31,35,40,02,06
03,17,31,34,37,39,05,04
01,03,08,20,26,38,15,01
04,12,22,26,35,40,08,02
02,13,18,22,26,39,38,04
06,08,18,19,20,35,04,07
09,15,18,22,36,39,34,05
12,18,19,26,35,37,15,02
08,11,15,17,31,36,32,06
03,07,10,16,18,38,05,03
08,09,13,18,25,33,22,03
15,18,21,36,37,40,38,06
09,12,17,20,35,39,34,06
01,10,19,29,32,37,16,05
08,10,14,17,33,34,09,10
01,03,09,34,36,37,40,02
01,03,05,31,32,38,17,02
09,22,25,32,33,35,14,10
08,13,27,32,36,37,24,07
10,14,15,20,25,37,04,07
06,15,18,21,23,37,10,09
03,04,19,21,26,33,20,04
01,02,07,09,17,32,15,08
04,09,14,15,27,33,28,07
05,08,14,17,20,33,18,04
12,13,18,26,34,40,37,06
01,02,06,24,26,30,15,03
05,06,25,30,31,40,17,01
06,18,21,26,31,39,23,06
01,05,16,20,30,34,21,09
13,14,17,18,39,40,37,06
08,15,16,28,31,32,30,06
08,19,22,24,27,28,03,04
15,19,30,32,35,40,18,06
02,15,19,27,37,39,26,10
04,06,17,27,31,32,11,09
